Title,Year of Release,User Rating
Planeta Tierra II,(2016),9.5
Planeta Tierra,(2006),9.4
Hermanos de sangre,(2001),9.4
Breaking Bad,(2008),9.4
Chernobyl,(2019),9.4
Planeta azul II,(2017),9.3
The Wire (Bajo escucha),(2002),9.3
Nuestro planeta,(2019),9.3
Cosmos: Una odisea en el espacio-tiempo,(2014),9.2
Cosmos,(1980),9.2
Juego de tronos,(2011),9.2
Avatar: La leyenda de Aang,(2005),9.2
Rick y Morty,(2013),9.2
Los Soprano,(1999),9.2
El mundo en guerra,(1973),9.1
El último baile,(2020),9.1
Scam 1992: The Harshad Mehta Story,(2020),9.1
Life,(2009),9.1
Fullmetal Alchemist: Brotherhood,(2009),9.1
La guerra de Vietnam,(2017),9.1
Sherlock,(2010),9.0
La dimensión desconocida,(1959),9.0
Planeta humano,(2011),9.0
Planeta azul,(2001),9.0
Sahsiyet,(2018),9.0
Batman: la serie animada,(1992),9.0
The Beatles Anthology,(1995),9.0
Planeta helado,(2011),9.0
Firefly,(2002),8.9
El decálogo,(1989),8.9
True Detective,(2014),8.9
Death Note,(2006),8.9
The Civil War,(1990),8.9
Apocalipsis - La segunda guerra mundial,(2009),8.9
Cowboy Bebop,(1998),8.9
Fargo,(2014),8.9
África,(2013),8.9
Así nos ven,(2019),8.9
Last Week Tonight with John Oliver,(2014),8.9
Hunter x Hunter,(2011),8.9
Only Fools and Horses,(1981),8.9
The Office,(2005),8.8
TVF Pitchers,(2015),8.8
Gravity Falls,(2012),8.8
Friends,(1994),8.8
El submarino,(1985),8.8
Seinfeld,(1989),8.8
Nathan al rescate,(2013),8.8
Monty Python's Flying Circus,(1969),8.8
Orgullo y prejuicio,(1995),8.8
Ataque a los titanes,(2013),8.8
Black Mirror,(2011),8.8
La historia del universo,(2010),8.8
Twin Peaks,(1990),8.8
Más allá del jardín,(2014),8.8
Ramayan,(1987),8.8
Narcos,(2015),8.7
La víbora negra,(1989),8.7
One Punch Man,(2015),8.7
Kota Factory,(2019),8.7
Chappelle's Show,(2003),8.7
Peaky Blinders,(2013),8.7
Instituto McKinley,(1999),8.7
Hotel Fawlty,(1975),8.7
The Mandalorian,(2019),8.7
Colgados en Filadelfia,(2005),8.7
Dark,(2017),8.7
Dragon Ball Z,(1989),8.7
Steins;Gate,(2011),8.7
El ala oeste de la Casa Blanca,(1999),8.7
Better Call Saul,(2015),8.7
Roma,(2005),8.7
Sol negro,(2017),8.7
Dragon Ball Z,(1996),8.7
Leyla and Mecnun,(2011),8.7
Stranger Things,(2016),8.7
Vratice se rode,(2007),8.7
Arrested Development,(2003),8.7
Oz,(1997),8.7
Larry David,(2000),8.7
"Yo, Claudio",(1976),8.7
BoJack Horseman,(2014),8.7
Vinland Saga,(2019),8.7
Mahabharat,(1988),8.7
Fleabag,(2016),8.7
The Boys,(2019),8.7
House of Cards,(2013),8.7
La maravillosa Sra. Maisel,(2017),8.7
The Promised Neverland,(2019),8.7
Las aventuras de Sherlock Holmes,(1984),8.7
Justice League Unlimited,(2004),8.7
Nuestro planeta,(2018),8.7
The Thick of It,(2005),8.7
Sarabhai vs Sarabhai,(2004),8.7
A dos metros bajo tierra,(2001),8.6
South Park,(1997),8.6
Still Game,(2002),8.6
The Jinx (El gafe),(2015),8.6
One Piece,(1999),8.6
El regreso de Sherlock Holmes,(1986),8.6
El universo,(2007),8.6
Los Simpson,(1989),8.6
Yeh Meri Family,(2018),8.6
House,(2004),8.6
The Crown,(2016),8.6
"Galáctica, estrella de combate",(2004),8.6
Demon Slayer: Kimetsu No Yaiba,(2019),8.6
Critical Role,(2015),8.6
Ted Lasso,(2020),8.6
The Shield: Al margen de la ley,(2002),8.6
Greatest Events of WWII in Colour,(2019),8.6
The Grand Tour,(2016),8.6
Top Gear,(2002),8.6
Berserk,(1997),8.6
Westworld,(2016),8.6
La II Guerra Mundial en color,(2009),8.6
Downton Abbey,(2010),8.6
Primal,(2019),8.6
Paloma Solitaria,(1989),8.6
Line of Duty,(2012),8.6
Haikyu!! Los ases del vóley,(2014),8.6
This Is Us,(2016),8.6
Deadwood,(2004),8.6
Atlanta,(2016),8.6
Star Trek: La nueva generación,(1987),8.6
Gambito de dama,(2020),8.6
Bron (El puente),(2011),8.6
Parks and Recreation,(2009),8.6
La víbora negra,(1986),8.6
Las memorias de Sherlock Holmes,(1994),8.6
La maldición de Hill House,(2018),8.6
Cobra Kai,(2018),8.6
Una vida regalada (Aranyelet),(2015),8.6
Expediente X,(1993),8.6
Code Geass: Lelouch of the Rebellion,(2006),8.6
Mad Men,(2007),8.6
The Eric Andre Show,(2012),8.6
Battlestar Galactica,(2003),8.6
Succession,(2018),8.6
Friday Night Lights,(2006),8.6
Peep Show,(2003),8.6
Fórmula 1: La emoción de un Grand Prix,(2019),8.6
Priklyucheniya Sherloka Kholmsa i doktora Vatsona: Sobaka Baskerviley,(1981),8.6
Gomorra: La serie,(2014),8.6
"Kenshin, el guerrero samurái: Recuerdos",(1999),8.6
El vecindario del Sr. Rogers,(1968),8.6
Crash Landing on You,(2019),8.6
Archer,(2009),8.6
La víbora negra,(1987),8.6
La joven Liga de la Justicia,(2010),8.6
Oficina de infiltrados,(2015),8.6
Padre Ted,(1995),8.6
Mindhunter,(2017),8.6
Dexter,(2006),8.6
The Bugs Bunny Show,(1960),8.6
Anne with an E,(2017),8.6
Secretos del Universo con Morgan Freeman,(2010),8.6
Daredevil,(2015),8.6
QI,(2003),8.6
El mundo en moto con Ewan McGregor,(2004),8.6
Behzat Ç.: An Ankara Policeman,(2010),8.5
Monster,(2004),8.5
Mind Your Language,(1977),8.5
Norte y Sur,(2004),8.5
Nos conocimos en Estambul,(2020),8.5
Umbre,(2014),8.5
"Sí, ministro",(1980),8.5
Making a Murderer,(2015),8.5
The Newsroom,(2012),8.5
Content Cop,(2015),8.5
Panchayat,(2020),8.5
Pose,(2018),8.5
Agatha Christie: Poirot,(1989),8.5
El Chavo del Ocho,(1972),8.5
Spaced,(1999),8.5
Brass Eye,(1997),8.5
Dragon Ball,(1986),8.5
Está bien no estar bien,(2020),8.5
Skam,(2015),8.5
Justified: La ley de Raylan,(2010),8.5
La Liga de la Justicia,(2001),8.5
"Sí, primer ministro",(1986),8.5
